text,source,label,severity,language
En first lover s.subashini innaikku enga irukkaanganu theriyala ? Aana 2008 enna nambi Chennai ku vanthaanga. Veetla pirichittaanga.. ippo eanakku vera ponnoda marriage aahi 2 pen kulanthai age attend pannitaanga. Aanaal indrum avanga meethu eanakku madhippum mariyaathayum undu... This 90kids .... Oru naal night avanga enkooda odivanthappakooda avangala naan thodala???? This 90kids ..... Ippo?????? 1 minutes naasaamaa potchu naade. For example 2k kids..mathippu mariyaathaai vetkam ennavendre theriyaatha oru janthukkal,youtube,,,Tanglish
Lost dialogue is related enna da valka edi 🤡,youtube,,,Tanglish
கமென்ட் என்ன வந்ததுனு கெட்ட வார்த்தையா போடுறியே....உன் குடும்ப பெண்களுக்கு அந்த வார்த்தையை எல்லாம் சொல்லி சந்தோசப்படு,youtube,,,Tamil
😂 bro 1 st couple I'd enna??,youtube,,,Tanglish
8:07 avanga id sollu bro,youtube,,,Tanglish
Love பத்தி என்னடா நினைச்சீங்க ❤️❤️❤️,youtube,,,Tamil
2k kids ku indha nelama thanga mudila innum 3k kids vandha enna aga podho 🙄😕,youtube,,,Tanglish
K d😊 girl s and boys,youtube,,,English
Pavingala 30 vayasu akiduchu innum future a pathina payam irukku eppu da ipdi suthikittu irukinga kandravi en parents nenachi ippo sandosama irukku,youtube,,,Tanglish
Aijajoo mudilla da saami But I am a SriLankan and I am 15 but Innai varaikkum enkidda Instagram/ TikTok ethuvume illa 😅😂 Aijajoo That Aikiri nanthini pathathume Ennoda reaction antha Aalu sirikkira maari tha irunthichu Bro 😂 Omg that poom poom madu kaaran 😂😂😂😂😂😂 and that Hoi Hoi Gay 😂,youtube,,,Tanglish
"Anna Anni , Mama akka nu Comments pannitu Oru tharkuri Kootam Irukuthuga vera karumam....!",youtube,,,Tanglish
8:12 kindly tell their id bro,youtube,,,English
They are thinking that it is a prestigious to them but according to it is a cringe,youtube,,,English
Thanks 😅,youtube,,,English
சில்வர் மண்டையன்,youtube,,,Tamil
இதுக 2000 ல பிறந்ததுக இல்ல.2010 பிறந்ததுக,youtube,,,Tamil
Kutty kujaan id name please please please please please please please please please please please please please please please 😊😊😊😊😊😊,youtube,,,English
Ipolam periya pasangala Vida chinna pasangala patha than payama iruku😮 I am a new mother enaku girl baby 😢avala epadi intha societyla pathukapa valaka poranu rompa payama iruku 😢,youtube,,,Tanglish
Konjam uniform kalatitu vera dress la pannuga pa government scl pera kedukathinga da 😮,youtube,,,Tanglish
4:26 ofc it's cringy but the message she was trying to communicate wasn't <3,youtube,,,English
The Odia,youtube,,,English
I am committed my girl friend Is 10th school topper in previous year Mark vanthu 485🎉 And my school toppper vanthu Naanthan mark vanthu 459🎉,youtube,,,Tanglish
Naa kuda think panna .... Future laa road cleaning ku la yaarum vara maatnaga atha work la yaaru panna poranu.. ana idha video va patha future la mokkavasi tharkuringa ella atha work ku tha prepare aguranga nuu😂😂😂😂😂,youtube,,,Tanglish
Even though they are behaving like that... It's not ok to show there face and portrait them with indecent words... They are childrens... As a society we are also the reason for their indiscipline behaviour... We should start it from our home... By teach our childrens....,youtube,,,English
100% correct 👍🏻,youtube,,,English
Appadi neegallam sonna sari kalyanam agi pondati kuda sanda poodama ethana peru irukkinga this the age of attraction ellarukkum varum but I know this is too much Naa ethavathu thappa pesi iruntha Brothers and sisters sorry,youtube,,,English
Romba romba worst 🤦🤦🤦,youtube,,,Tanglish
"ஒன்னுமில்லாமே, எதுவும் செய்யாமே இருக்கிறது க்கு 🤧 இதுக பன்றது எவ்வளவோ தேவைல",youtube,,,Tamil
வருங்கால சித்தாள் கொத்தனார்,youtube,,,Tamil
Y you target only govt school students... Private school students also did the same...,youtube,,,English
Congratulations Government School Students And Teachers 🎉😂,youtube,,,English
8:08 யூடியூப் மூலமாக அவன் மீது போக்ஸோ குற்றச்சாட்டு சாடலாமா?,youtube,,,Tamil
7. 56 channel name what,youtube,,,English
Saniyan ga school uniform potu reels panudhunga,youtube,,,English
@rohinisampath 90s kids ah 🤩 aiyo very happy to meet you 🤩 epdinga epdinga epdi inum 90s single ah irukeenga 🤩 endha oorunga neenga rohini 🍀,youtube,,,Tanglish
Id please,youtube,,,English
Acidity form airuchu da beer adichi eno kudichi vaanthi eduthutu iruken naneyy😭,whatsapp,,,Tanglish
Next week la irunthu DSA,whatsapp,,,English
Aprm next week la company vanthurum ah,whatsapp,,,English
Thevidiya clg da ithu,whatsapp,,,English
"Pesama Inga AIDS eduthathuku vera clg IT,CSE eduthurukalam",whatsapp,,,Tanglish
Karpagam college da avan,whatsapp,,,Tanglish
Athu Coimbatore ksr version,whatsapp,,,English
Paravala but rmb ah theory ah poguthu,whatsapp,,,English
Dei na goa la thani ae kudikama thanni matum thanda potutu iruken,whatsapp,,,Tanglish
Club la poi item kuda pesitu iruden da,whatsapp,,,Tanglish
Athoda backstory solitu irudhuchu,whatsapp,,,English
"Athu 10 years ah inga tha irukam northeast assam kaari, avagaley tha neriya pera attract pani podanum ahm, apo tha club la irudhu kaasu varum athu ithu mu solitu irudhuchu",whatsapp,,,Tanglish
Dei bike la follow pani item venuma sir nu kekuraga da,whatsapp,,,Tanglish
Avan voice ley kekuthu da,whatsapp,,,Tanglish
Nithish alter ego,whatsapp,,,English
Really Boring da,whatsapp,,,English
Ena da mapla depression ah,whatsapp,,,Tanglish
Bala in kailash <This message was edited>,whatsapp,,,English
comedy bro,whatsapp,,,English
Dei thambi,whatsapp,,,English
