text,source,label,severity,language,text_clean
5:38 அப்டியே ரெண்டு லார்ரிய சுண்டு விரல்ல இப்படி தூக்கிட்டு வந்தான் டா 😂😂,youtube,,,Tamil,5:38 அப்டியே ரெண்டு லார்ரிய சுண்டு விரல்ல இப்படி தூக்கிட்டு வந்தான் டா
08:14 semma bro nice penyaa where you boughte,youtube,,,English,08 14 semma bro nice penyaa boughte
Sudhakar perfectly suited for teacher role in this video 😄😄😄......,youtube,,,English,sudhakar perfectly suited teacher role video
Mr.Incredible Channel screen play Mr. just for fun,youtube,,,English,mr incredible channel screen play mr fun
Rasmidha S what's ah brillance,youtube,,,English,rasmidha ah brillance
Gopi 's acting vera level..,youtube,,,Tanglish,gopi acting vera level
இன்ஜினியரிங் காலேஜ் பாரிதாபங்கள் மாதிரி அங்க படிக்கற மாணவர்கள் பரிதாபங்கள் போடுங்க.....தாங்க முடியல....,youtube,,,Tamil,இன்ஜினியரிங் காலேஜ் பாரிதாபங்கள் மாதிரி அங்க படிக்கற மாணவர்கள் பரிதாபங்கள் போடுங்க.....தாங்க முடியல....
It's 2019 October still I'm watching,youtube,,,English,2019 october still watching
0:16 is litt,youtube,,,English,16 litt
Where you bought this pen😂😂 slang same like my physics sir. ..,youtube,,,English,bought pen slang like physics sir
😂😂I am waiting in 2020,youtube,,,English,waiting 2020
எனக்கு நடந்து இருக்கு,youtube,,,Tamil,எனக்கு நடந்து இருக்கு
Me too happened 🥺,youtube,,,English,happened
"Gopi Miratitiga Ponga, Highlight Ah Antha 2mark Potutu Vera 2u Mark Ah Korachathutha, Enakum Ithulam Nadanthuruku broooo😢😢😢",youtube,,,Tanglish,gopi miratitiga ponga highlight antha 2mark potutu vera 2u mark korachathutha enakum ithulam nadanthuruku broooo
Remembering School days.. Undertakerku 7 uyir and odd or even handcricket !!!,youtube,,,English,remembering school days undertakerku uyir odd even handcricket
6:03 😂😂 குச்சிய நீற்ற கு கு கு கு........!!!!,youtube,,,Tamil,6:03 குச்சிய நீற்ற கு கு கு கு........!!!!
ரெம்ப நாள் கழிச்சு கண்ணீர் வர வர சிரிச்சே,youtube,,,Tamil,ரெம்ப நாள் கழிச்சு கண்ணீர் வர வர சிரிச்சே
Sudhakar is looking like my school physics teacher 🤣🤣😅,youtube,,,English,sudhakar looking like school physics teacher
Who else want Gopi and Sudhakar to be the next pair like Goundamani Senthil in Tamizh Cinema !!!!!,youtube,,,English,else want gopi sudhakar next pair like goundamani senthil tamizh cinema
6:16 The expression the guy behind Gopi gives is exactly how we reacted :D,youtube,,,English,16 expression guy behind gopi gives exactly reacted
5:42 vera level🤣🤣🤣,youtube,,,Tanglish,42 vera level
வெகுநாள் கழிச்சு வயிறு குலுங்க சிரிச்சேன் அண்ணா! ரெண்டு பேருமே செம்ம!,youtube,,,Tamil,வெகுநாள் கழிச்சு வயிறு குலுங்க சிரிச்சேன் அண்ணா! ரெண்டு பேருமே செம்ம!
Not Better Parithabangal Than Engineering Parithabangal Till Now.......😍😍😍😍,youtube,,,English,better parithabangal engineering parithabangal till
3:00 see this 😂😂😂,youtube,,,English,00 see
Naanum tha,youtube,,,English,naanum tha
Who watch 2k19😁😁😁,youtube,,,English,watch 2k19
I am seeing this in 2026,youtube,,,English,seeing 2026
Can't control My laughing...hats off u both,youtube,,,English,control laughing hats
Thumbnail Gopi vera level 😂😂😂😍,youtube,,,Tanglish,thumbnail gopi vera level
Semma voice....that powder make up....echchakala dialogue....Sudhakar innocent expressions😍just love themmmm,youtube,,,English,semma voice powder make echchakala dialogue sudhakar innocent expressions love themmmm
Pen moment yenaku nadanthiruku 😂😂😂vera level,youtube,,,Tanglish,pen moment yenaku nadanthiruku vera level
only for 90s kids,youtube,,,English,90s kids
"35 வயசு ஆச்சு இன்னும் தனியா தான் சுத்திட்டு இருக்கிறேன், என்ன நெனச்சி எனக்கே கேவலமா இருக்கு",youtube,,,Tamil,"35 வயசு ஆச்சு இன்னும் தனியா தான் சுத்திட்டு இருக்கிறேன், என்ன நெனச்சி எனக்கே கேவலமா இருக்கு"
Now im realising.. why my parents strict at me in my small age time 😌💐,youtube,,,English,im realising parents strict small age time
இப்பலா இந்த மாதிரி சின்ன பிள்ளைங்கள பார்த்தாலே பயமா இருக்கு,youtube,,,Tamil,இப்பலா இந்த மாதிரி சின்ன பிள்ளைங்கள பார்த்தாலே பயமா இருக்கு
As a teacher I am very scared of this kind of students,youtube,,,English,teacher scared kind students
அரசு பள்ளிகளில் கடின உழைப்பால் படிக்கும் பிள்ளைகளும் இருக்கு... உங்களுக்கு அதெல்லாம் கண்ணுக்கு தெரியாது....,youtube,,,Tamil,அரசு பள்ளிகளில் கடின உழைப்பால் படிக்கும் பிள்ளைகளும் இருக்கு... உங்களுக்கு அதெல்லாம் கண்ணுக்கு தெரியாது....
இவளுகளுக்கு எல்லாம் ஆத்தா அப்பன் இருக்கானுங்களா இல்லையா?,youtube,,,Tamil,இவளுகளுக்கு எல்லாம் ஆத்தா அப்பன் இருக்கானுங்களா இல்லையா?
"Starting punch "" நாய்க்காதல்"" 200% உண்மை... நல்லபடியா படிச்சி வாழ்க்கையில முன்னேறனும் னு எண்ணத்தோட எதுங்க படிக்க போகுதுங்க 🤦‍♂️",youtube,,,Tamil,"Starting punch "" நாய்க்காதல்"" 200% உண்மை... நல்லபடியா படிச்சி வாழ்க்கையில முன்னேறனும் னு எண்ணத்தோட எதுங்க படிக்க போகுதுங்க"
வாழ்க்கைல எப்படி இருக்கணும்னு யாருக்குமே தெரியல😂,youtube,,,Tamil,வாழ்க்கைல எப்படி இருக்கணும்னு யாருக்குமே தெரியல
ஒத்த ரோசாக்களா ( பிள்ளைகளைப் பெற்றதாய் தந்தையர்கள்) புள்ளைங்க ரொம்ப அற்புதமா வளத்து இருக்கீங்க😂😂😂😂😂😂😂😂😂😂😂,youtube,,,Tamil,ஒத்த ரோசாக்களா ( பிள்ளைகளைப் பெற்றதாய் தந்தையர்கள்) புள்ளைங்க ரொம்ப அற்புதமா வளத்து இருக்கீங்க
தரமான வீடியோ வேற லெவல் சூப்பர் எடிட்டிங் பக்கா சிரிப்பு அடக்க முடியால,youtube,,,Tamil,தரமான வீடியோ வேற லெவல் சூப்பர் எடிட்டிங் பக்கா சிரிப்பு அடக்க முடியால
"Respect the girl who did goddess reel, 4:28",youtube,,,English,respect girl goddess reel 28
அப்பா அம்மா எல்லாரும் பையன் வசதியா இருக்கணும்னு சொல்லிட்டு இப்போ எவன்கூடயோ போறது தெரியாம இருகாங்க,youtube,,,Tamil,அப்பா அம்மா எல்லாரும் பையன் வசதியா இருக்கணும்னு சொல்லிட்டு இப்போ எவன்கூடயோ போறது தெரியாம இருகாங்க
Naa school padikkum podhu thavani thaan evlo alaga irukkum boys ah paarthave vetkam varum nera nindu kooda pesave maattanga love irukkum aahana olukkamum irukkum viral nuni kooda mela pattadhu kedaiyadhu ❤,youtube,,,Tanglish,naa school padikkum podhu thavani thaan evlo alaga irukkum boys paarthave vetkam varum nera nindu kooda pesave maattanga love irukkum aahana olukkamum irukkum viral nuni kooda mela pattadhu kedaiyadhu
அப்போ எவளும் படிக்க போல.. 🤔🌍🫀,youtube,,,Tamil,அப்போ எவளும் படிக்க போல..
வருங்கால கொத்தனார் சித்தாடும்😂,youtube,,,Tamil,வருங்கால கொத்தனார் சித்தாடும்
Dont worry iam 37 old😂😂 eppadi pandratha veda nan single la ve erukalam bro❤❤,youtube,,,Tanglish,dont worry iam 37 old eppadi pandratha veda nan single erukalam
சிங்களன் சொல்ல ஈசியா இருக்கு ஆனா மனசுக்குள்ள கஷ்டமா இருக்கு,youtube,,,Tamil,சிங்களன் சொல்ல ஈசியா இருக்கு ஆனா மனசுக்குள்ள கஷ்டமா இருக்கு
Bro 90's kids thana neengalum 🎉,youtube,,,English,bro 90 kids thana neengalum
@Mastervj1 ஆமா நண்பா,youtube,,,Tamil,@Mastervj1 ஆமா நண்பா
Bro பயப்பிடாம போய் பொண்ணுங்க கிட்ட போய் பிடிச்சிருக்குனு சொல்லு bro ஓகேனா love பண்ணு bro இல்லனா வேற பொன்னுட போய் சொல்லு bro naala 8 ponna love panna bro 8 me v2ku therinchi poittu bro vittutu so athunala 9 vatha ippa oru ponna paakura bro summa side adi bro apram velila aaichittu poi enjay pannu bro ithukku poi enna ninaicha kevalama irukkunu sollura bro 😂,youtube,,,Tanglish,love naala ponna love panna v2ku therinchi poittu vittutu athunala vatha ippa oru ponna paakura summa side adi apram velila aaichittu poi enjay pannu ithukku poi enna ninaicha kevalama irukkunu sollura
@x_lonely_boy பணம் இருக்குனும் இல்லனா அழகா இருக்கணும் இரண்டுமே என்கிட்ட இல்ல,youtube,,,Tamil,@x_lonely_boy பணம் இருக்குனும் இல்லனா அழகா இருக்கணும் இரண்டுமே என்கிட்ட இல்ல
Kavalai padathea bro marriage panna sethu poiruva nan marriage panni romba stressla iruken,youtube,,,Tanglish,kavalai padathea marriage panna sethu poiruva nan marriage panni romba stressla iruken
கேவலம் நெனைக்காதீங்க நம்ம அப்பா அம்மா ஒழுகமா வளத்து இருகாங்க பெருமை படுங்க சகோதரா 😢😂,youtube,,,Tamil,கேவலம் நெனைக்காதீங்க நம்ம அப்பா அம்மா ஒழுகமா வளத்து இருகாங்க பெருமை படுங்க சகோதரா
Bro I am studying in 11th std Naanum oru ponna love pandra bro But in previous year I am studied in 10th nanga rendu perum committed My 10th mark is 439😅😅 Avanga mark vanthu 485🎉🎉❤❤,youtube,,,Tanglish,studying 11th std naanum oru ponna love pandra previous year studied 10th nanga rendu perum committed 10th mark 439 avanga mark vanthu 485
@ManiMani-har അയ്യോ എന്റെ ഗുരുവായൂരപ്പാ!,youtube,,,Malayalam,@ManiMani-har അയ്യോ എന്റെ ഗുരുവായൂരപ്പാ!
கிடைக்கும் ப்ரோ கவலைப்படாதீர்கள்😢,youtube,,,Tamil,கிடைக்கும் ப்ரோ கவலைப்படாதீர்கள்
அதே நிலமைதான் சகோதரா எனக்கும் வயது 32 ஆகின்றது,youtube,,,Tamil,அதே நிலமைதான் சகோதரா எனக்கும் வயது 32 ஆகின்றது
நானும் அப்படித்தான் 33 வயசு கல்யாணம் இல்ல காதல் இல்லை குடி பழக்கம் இல்லை சிகிரெட் பழக்கம் இல்லை டீ காபி கூட குடிக்க மாட்டேன் இன்னும் பொன்னு அமையல என்னத சொல்றது,youtube,,,Tamil,நானும் அப்படித்தான் 33 வயசு கல்யாணம் இல்ல காதல் இல்லை குடி பழக்கம் இல்லை சிகிரெட் பழக்கம் இல்லை டீ காபி கூட குடிக்க மாட்டேன் இன்னும் பொன்னு அமையல என்னத சொல்றது
Single tha gethu,youtube,,,English,single tha gethu
48 வயசு ஆகுது இன்னும் கல்யாணம் ஆகாமல் இருக்காங்க என் மாமா பசங்க விடுங்க பாஸ் கவலை படாதீங்க,youtube,,,Tamil,48 வயசு ஆகுது இன்னும் கல்யாணம் ஆகாமல் இருக்காங்க என் மாமா பசங்க விடுங்க பாஸ் கவலை படாதீங்க
Dont worry bro my husband 35 enaku 24 recent ah than marriage pannom.so late ah kidachalum best ah kidaikum.all the best for 90s kids,youtube,,,English,dont worry bro husband 35 enaku 24 recent ah marriage pannom late ah kidachalum best ah kidaikum best 90s kids
Mingle agita happy poirum brother,youtube,,,English,mingle agita happy poirum brother
ஏ சங்கத்து ஆள கேவலமா பேசுனது எவண்டா 😂😂😂,youtube,,,Tamil,ஏ சங்கத்து ஆள கேவலமா பேசுனது எவண்டா
Bro enakku 40 bro achu 'anum single than,youtube,,,Tanglish,enakku 40 achu anum single
கண்டிப்பாக ஒரு நாள் கல்யாணம்ம்ம்ம்ம் ஆகலாம் 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,youtube,,,Tamil,கண்டிப்பாக ஒரு நாள் கல்யாணம்ம்ம்ம்ம் ஆகலாம்
இதுவும் கடந்து போகும் bro ❤❤❤😂,youtube,,,Tamil,இதுவும் கடந்து போகும் bro
"Family kka work panni life tholachutiye bro. Naa eppa feel pandren school, college, work place laa oru ponna kuda love pannala eppa ennoda age 26 naa eppa gulf erukken my hair kottithu. 😢😢",youtube,,,Tanglish,family kka work panni life tholachutiye naa eppa feel pandren school college work place laa oru ponna kuda love pannala eppa ennoda age 26 naa eppa gulf erukken hair kottithu
நாம யாருக்கு என்ன கெடுதல் செஞ்ச,youtube,,,Tamil,நாம யாருக்கு என்ன கெடுதல் செஞ்ச
ஆமா தல......😢,youtube,,,Tamil,ஆமா தல......
Don’t worry bro single life is better🎉🎉,youtube,,,English,worry bro single life better
சாவு சாவுல😅😊😂,youtube,,,Tamil,சாவு சாவுல
உனக்கு நீ தான் எல்லாம் தேடி தரேன் உனக்கு நீதாண்டா தேடி😂😊,youtube,,,Tamil,உனக்கு நீ தான் எல்லாம் தேடி தரேன் உனக்கு நீதாண்டா தேடி
சனியானுங்க School la கேவால படுத்திருக்கிறது குஇதுங்க எதுக்கு இருக்கு 😡😡😡😡😡😡😡😡,youtube,,,Tamil,சனியானுங்க School la கேவால படுத்திருக்கிறது குஇதுங்க எதுக்கு இருக்கு
எனக்கு 33 வயசு ஆகுது எனக்கும் இன்னும் கல்யாணம் ஆகல 😢,youtube,,,Tamil,எனக்கு 33 வயசு ஆகுது எனக்கும் இன்னும் கல்யாணம் ஆகல
கவலை படாதிங்க ❤️,youtube,,,Tamil,கவலை படாதிங்க
Sethuru bro 😢😢😢 yenake unna nenacha kastama iruku Just Fun…,youtube,,,Tanglish,sethuru yenake unna nenacha kastama iruku fun
These are children of absent parents who focus only on work. Not free parents,youtube,,,English,children absent parents focus work free parents
Mam i want to convey something to you .that you might think they are cheap but they just want to explore them may be the way was not good looking but you can't say that only govt . are doing this . And it was there lifestyle so please comment on this,youtube,,,English,mam want convey something might think cheap want explore may way good looking say govt lifestyle please comment
அதிகமாக இப்படி தறுதலைகள் தான் இருக்குது,youtube,,,Tamil,அதிகமாக இப்படி தறுதலைகள் தான் இருக்குது
So you should not talk about this tharkuris 🤷,youtube,,,English,talk tharkuris
Me too ..nanum insta la illa paravailla pa enna Mari innoru jeevan iruku😂,youtube,,,Tanglish,nanum insta illa paravailla enna mari innoru jeevan iruku
Mee also bro😂,youtube,,,English,mee also bro
Kothanar Velaiku Insta la Alu irukku bro 😂😂,youtube,,,Tanglish,kothanar velaiku insta alu irukku
Mee too bro,youtube,,,English,mee bro
Correct my first lover s.subashini. .... Innaikku enga irukkaanganu theriyala... Eanakku 2 pen kulanthai .indrum avanga mela eanakku madhippu irukku... This is 90 kids....,youtube,,,Tanglish,correct first lover subashini innaikku enga irukkaanganu theriyala eanakku pen kulanthai indrum avanga mela eanakku madhippu irukku 90 kids
"@MohamedNabi-n1u bro 90kids is unamaya love irunthathu,,,true love generation only 90$",youtube,,,Tanglish,mohamednabi n1u 90kids unamaya love irunthathu true love generation 90
It's true bro,youtube,,,English,true bro
தலைவன் சியான் விக்ரம் டயலாக் வேற லெவல் 😂,youtube,,,Tamil,தலைவன் சியான் விக்ரம் டயலாக் வேற லெவல்
Damn those 90's kids☺️ pavaga எங்க பாவம் எல்லாம் உங்கள😮சும்மா விடாது டா,youtube,,,Tamil,Damn those 90's kids pavaga எங்க பாவம் எல்லாம் உங்கள சும்மா விடாது டா
கௌர்மென்ட் ஸ்கூலையும் நல்லா படிக்கிறவங் நிறைய பேர் இருக்காங்க,youtube,,,Tamil,கௌர்மென்ட் ஸ்கூலையும் நல்லா படிக்கிறவங் நிறைய பேர் இருக்காங்க
பெத்தவங்க படிக்கிறதுக்கு போன் வாங்கி குடுத்தா இந்த வேலை தேவையா.,youtube,,,Tamil,பெத்தவங்க படிக்கிறதுக்கு போன் வாங்கி குடுத்தா இந்த வேலை தேவையா.
அந்த வீடியோவில் வர்ற all comments வேற லெவல் போங்க🤣🤣🤣🤣🤣🤣,youtube,,,Tamil,அந்த வீடியோவில் வர்ற all comments வேற லெவல் போங்க
"After watch the last video, I was thinking my life is wast 😂😂😂😂",youtube,,,English,watch last video thinking life wast
என் உயிர் தலைவன் அந்நியன் சியான் விக்ரம்😂 டயலாக் வேற லெவல்,youtube,,,Tamil,என் உயிர் தலைவன் அந்நியன் சியான் விக்ரம் டயலாக் வேற லெவல்
5:24. That friend who covered her face 😊 POV~ I don't know this tharkuri girls,youtube,,,English,24 friend covered face pov know tharkuri girls
நித்தியானந்தா சிரிப்பு அழகு,youtube,,,Tamil,நித்தியானந்தா சிரிப்பு அழகு
School management defenetly should take action,youtube,,,English,school management defenetly take action
All is Govt. School Uniform 🙄 no one is in the private school uniform,youtube,,,English,govt school uniform one private school uniform
vinthu thavariya tharunam😂😂😂,youtube,,,English,vinthu thavariya tharunam
0:28...Perfect words😂💯,youtube,,,English,28 perfect words
நீங்க நல்லா தீவிரவாதி மாதிரி சுட வேணும்,youtube,,,Tamil,நீங்க நல்லா தீவிரவாதி மாதிரி சுட வேணும்
இந்த காலத்து 2 கிட்ஸ் இளைஞர்களை நினைத்து ரொம்ப வேதனைப்படுகிறேன் இந்த இளைஞர்கள் எல்லாம் என்னதான் ஆகப் போகிறார்கள் தெரியவில்லை,youtube,,,Tamil,இந்த காலத்து 2 கிட்ஸ் இளைஞர்களை நினைத்து ரொம்ப வேதனைப்படுகிறேன் இந்த இளைஞர்கள் எல்லாம் என்னதான் ஆகப் போகிறார்கள் தெரியவில்லை
1:40 idhu enga school 😂😂😂😂 paiyan da,youtube,,,Tanglish,40 idhu enga school paiyan
90s Kids Ah Pirandha Yelarume Sandhosam Padanum... Namma Amma Appa Yevalo Kasta Pattu Nammala Vazhathanga ... Ana Yepo 2k nu Sli Vandhangalo Apovea Yela Kalacharamum Mudinjudhu,youtube,,,Tanglish,90s kids pirandha yelarume sandhosam padanum namma yevalo kasta pattu nammala vazhathanga ana yepo 2k sli vandhangalo apovea yela kalacharamum mudinjudhu
என்னால சில வீடியோவை பார்க்கும் போது சிரிப்பு அடக்கவே முடியல இந்த தறுதலை எல்லாம் எங்க பொறந்தது எதுக்கு பொறந்தது,youtube,,,Tamil,என்னால சில வீடியோவை பார்க்கும் போது சிரிப்பு அடக்கவே முடியல இந்த தறுதலை எல்லாம் எங்க பொறந்தது எதுக்கு பொறந்தது
எல்லாம் government school பிள்ளைங்க தான் 😢,youtube,,,Tamil,எல்லாம் government school பிள்ளைங்க தான்
என்னடா முடி இது 😂😂😂😂😂,youtube,,,Tamil,என்னடா முடி இது
Last reel is hurt more ❤,youtube,,,English,last reel hurt
"Opening title super pa😂😂😂, Teachers la romba pavam😢😮 Parents solla varthai illai😢 Future kothanar, sithal guarantee😅",youtube,,,Tanglish,opening title super teachers romba pavam parents solla varthai illai future kothanar sithal guarantee
Nice funny video bro realy very nice 😂🤣👏,youtube,,,English,nice funny video bro realy nice
