text,text_clean,language,source,label,severity
திராவிட தேசத்தின் முக்ய மந்த்ரி இஸ்டாலின் சின்னமேளமு காரூ ஜிண்டாபாட் ஜிண்டாபாட்,திராவிட தேசத்தின் முக்ய மந்த்ரி இஸ்டாலின் சின்னமேளமு காரூ ஜிண்டாபாட் ஜிண்டாபாட்,Tamil,youtube,,
"டாஸ்மாக் கரன்ட் கட் காரன் கம்பி எண்ணுவது தான் கட்சிகளுக்கும், கூட்டணிகளுக்கும், நாட்டு மக்களுக்கும் நல்லது...","டாஸ்மாக் கரன்ட் கட் காரன் கம்பி எண்ணுவது தான் கட்சிகளுக்கும், கூட்டணிகளுக்கும், நாட்டு மக்களுக்கும் நல்லது...",Tamil,youtube,,
2023/10th month,2023 10th month,English,youtube,,
2023 leyum watching than bro!!,2023 leyum watching bro,English,youtube,,
Just 3 years later,years later,English,youtube,,
Bro this is 2024 time is going faster😢😢😢,bro 2024 time going faster,English,youtube,,
Oh shit I am watching on Dec 2024,oh shit watching dec 2024,English,youtube,,
Not only teacher every character,teacher every character,English,youtube,,
I'm watching in 2021 Feb 1,watching 2021 feb,English,youtube,,
Is true bro nice my favourite shows,true bro nice favourite shows,English,youtube,,
Only strasssa,strasssa,English,youtube,,
அம்மா அப்பா அண்ணன் கொழுந்தியா பேரவை 😂 😂 அடேய்ய் 😂,அம்மா அப்பா அண்ணன் கொழுந்தியா பேரவை அடேய்ய்,Tamil,youtube,,
என்னா எதுக்கு அடிச்சிங்க.இருடி எங்க அப்பாவ கூட்டிட்டு வரன்.😃😃😄😄😆😆😅😅😃😃,என்னா எதுக்கு அடிச்சிங்க.இருடி எங்க அப்பாவ கூட்டிட்டு வரன்.,Tamil,youtube,,
5:41...enna 7 uyir 7 mayir uh😂😂😂🤣🤣🤣vera level comedy.... ultimate,41 enna uyir mayir uh vera level comedy ultimate,Tanglish,youtube,,
3:30 exactly my school teachere are same like him,30 exactly school teachere like,English,youtube,,
#tnx 4 my childhood memories # nikkal kunthal # undertaker 7 uyir # hand cricket # Evan yennaya aduchano😘😘😘😘😉,tnx childhood memories nikkal kunthal undertaker uyir hand cricket evan yennaya aduchano,English,youtube,,
என் வாழ்க்கையில் நடந்தது போலவே இருக்கு 😂😁😁😂😂,என் வாழ்க்கையில் நடந்தது போலவே இருக்கு,Tamil,youtube,,
Means what,means,English,youtube,,
நானும் த ப்ரோ🤣🤣🤣 triple h Undertaker m anna thambi 🤣🤣🤣🤣,triple undertaker anna thambi,English,youtube,,
Me also bro,also bro,English,youtube,,
2:08 classic👌..class ku oruthan epadi kandipa erupaan 😂😂..over reaction kuduthu escape aagirvaan 😂,08 classic class ku oruthan epadi kandipa erupaan reaction kuduthu escape aagirvaan,Tanglish,youtube,,
dei echakala ... 😂andha Amma sonnatha Vida ...ninga sollumbothu... ultimate bro 😂😂😂😂,echakala andha sonnatha vida ninga sollumbothu ultimate,Tanglish,youtube,,
அம்மா அப்பா அண்ணன் கொளுந்தியா பேரவை! 😂,அம்மா அப்பா அண்ணன் கொளுந்தியா பேரவை!,Tamil,youtube,,
"வீடியோ முடிஞ்சதும், Bloopers ம் கடைசில போடுங்க நண்பா... அதான் Full enjoyment👌","வீடியோ முடிஞ்சதும், Bloopers ம் கடைசில போடுங்க நண்பா... அதான் Full enjoyment",Tamil,youtube,,
2:39 Inniku ongaluku onnu tharaporen! Athu enna?.... ( WoW Semma performance ) :),39 inniku ongaluku onnu tharaporen athu enna wow semma performance,English,youtube,,
2024 la யாரெல்லாம் பாக்குறீங்க,2024 la யாரெல்லாம் பாக்குறீங்க,Tamil,youtube,,
The best part is from 0:00 to 11:19..Hit like if you agree..,best part 00 11 19 hit like agree,English,youtube,,
"You Tube Channel Super Star Gopi Sudhakar ஞாபகம் வருதே nikkal Kundhal, Prayer மயக்கம், எவன் என்ன அடிச்சானோ, sir பேனா வாங்கறது, 8 th period PT, பேசினால் பெயர் எழுதுவது test paper, correction, அடி வாங்குவது 👏👌😢💓💟🏫📚📝","You Tube Channel Super Star Gopi Sudhakar ஞாபகம் வருதே nikkal Kundhal, Prayer மயக்கம், எவன் என்ன அடிச்சானோ, sir பேனா வாங்கறது, 8 th period PT, பேசினால் பெயர் எழுதுவது test paper, correction, அடி வாங்குவது",Tamil,youtube,,
5:38 அப்டியே ரெண்டு லார்ரிய சுண்டு விரல்ல இப்படி தூக்கிட்டு வந்தான் டா 😂😂,5:38 அப்டியே ரெண்டு லார்ரிய சுண்டு விரல்ல இப்படி தூக்கிட்டு வந்தான் டா,Tamil,youtube,,
08:14 semma bro nice penyaa where you boughte,08 14 semma bro nice penyaa boughte,English,youtube,,
Sudhakar perfectly suited for teacher role in this video 😄😄😄......,sudhakar perfectly suited teacher role video,English,youtube,,
Mr.Incredible Channel screen play Mr. just for fun,mr incredible channel screen play mr fun,English,youtube,,
Rasmidha S what's ah brillance,rasmidha ah brillance,English,youtube,,
Gopi 's acting vera level..,gopi acting vera level,Tanglish,youtube,,
இன்ஜினியரிங் காலேஜ் பாரிதாபங்கள் மாதிரி அங்க படிக்கற மாணவர்கள் பரிதாபங்கள் போடுங்க.....தாங்க முடியல....,இன்ஜினியரிங் காலேஜ் பாரிதாபங்கள் மாதிரி அங்க படிக்கற மாணவர்கள் பரிதாபங்கள் போடுங்க.....தாங்க முடியல....,Tamil,youtube,,
It's 2019 October still I'm watching,2019 october still watching,English,youtube,,
0:16 is litt,16 litt,English,youtube,,
Where you bought this pen😂😂 slang same like my physics sir. ..,bought pen slang like physics sir,English,youtube,,
😂😂I am waiting in 2020,waiting 2020,English,youtube,,
எனக்கு நடந்து இருக்கு,எனக்கு நடந்து இருக்கு,Tamil,youtube,,
Me too happened 🥺,happened,English,youtube,,
"Gopi Miratitiga Ponga, Highlight Ah Antha 2mark Potutu Vera 2u Mark Ah Korachathutha, Enakum Ithulam Nadanthuruku broooo😢😢😢",gopi miratitiga ponga highlight antha 2mark potutu vera 2u mark korachathutha enakum ithulam nadanthuruku broooo,Tanglish,youtube,,
Remembering School days.. Undertakerku 7 uyir and odd or even handcricket !!!,remembering school days undertakerku uyir odd even handcricket,English,youtube,,
6:03 😂😂 குச்சிய நீற்ற கு கு கு கு........!!!!,6:03 குச்சிய நீற்ற கு கு கு கு........!!!!,Tamil,youtube,,
ரெம்ப நாள் கழிச்சு கண்ணீர் வர வர சிரிச்சே,ரெம்ப நாள் கழிச்சு கண்ணீர் வர வர சிரிச்சே,Tamil,youtube,,
Sudhakar is looking like my school physics teacher 🤣🤣😅,sudhakar looking like school physics teacher,English,youtube,,
Who else want Gopi and Sudhakar to be the next pair like Goundamani Senthil in Tamizh Cinema !!!!!,else want gopi sudhakar next pair like goundamani senthil tamizh cinema,English,youtube,,
6:16 The expression the guy behind Gopi gives is exactly how we reacted :D,16 expression guy behind gopi gives exactly reacted,English,youtube,,
5:42 vera level🤣🤣🤣,42 vera level,Tanglish,youtube,,
வெகுநாள் கழிச்சு வயிறு குலுங்க சிரிச்சேன் அண்ணா! ரெண்டு பேருமே செம்ம!,வெகுநாள் கழிச்சு வயிறு குலுங்க சிரிச்சேன் அண்ணா! ரெண்டு பேருமே செம்ம!,Tamil,youtube,,
Not Better Parithabangal Than Engineering Parithabangal Till Now.......😍😍😍😍,better parithabangal engineering parithabangal till,English,youtube,,
3:00 see this 😂😂😂,00 see,English,youtube,,
Naanum tha,naanum tha,English,youtube,,
Who watch 2k19😁😁😁,watch 2k19,English,youtube,,
I am seeing this in 2026,seeing 2026,English,youtube,,
Can't control My laughing...hats off u both,control laughing hats,English,youtube,,
Thumbnail Gopi vera level 😂😂😂😍,thumbnail gopi vera level,Tanglish,youtube,,
Semma voice....that powder make up....echchakala dialogue....Sudhakar innocent expressions😍just love themmmm,semma voice powder make echchakala dialogue sudhakar innocent expressions love themmmm,English,youtube,,
Pen moment yenaku nadanthiruku 😂😂😂vera level,pen moment yenaku nadanthiruku vera level,Tanglish,youtube,,
only for 90s kids,90s kids,English,youtube,,
"35 வயசு ஆச்சு இன்னும் தனியா தான் சுத்திட்டு இருக்கிறேன், என்ன நெனச்சி எனக்கே கேவலமா இருக்கு","35 வயசு ஆச்சு இன்னும் தனியா தான் சுத்திட்டு இருக்கிறேன், என்ன நெனச்சி எனக்கே கேவலமா இருக்கு",Tamil,youtube,,
Now im realising.. why my parents strict at me in my small age time 😌💐,im realising parents strict small age time,English,youtube,,
இப்பலா இந்த மாதிரி சின்ன பிள்ளைங்கள பார்த்தாலே பயமா இருக்கு,இப்பலா இந்த மாதிரி சின்ன பிள்ளைங்கள பார்த்தாலே பயமா இருக்கு,Tamil,youtube,,
As a teacher I am very scared of this kind of students,teacher scared kind students,English,youtube,,
அரசு பள்ளிகளில் கடின உழைப்பால் படிக்கும் பிள்ளைகளும் இருக்கு... உங்களுக்கு அதெல்லாம் கண்ணுக்கு தெரியாது....,அரசு பள்ளிகளில் கடின உழைப்பால் படிக்கும் பிள்ளைகளும் இருக்கு... உங்களுக்கு அதெல்லாம் கண்ணுக்கு தெரியாது....,Tamil,youtube,,
இவளுகளுக்கு எல்லாம் ஆத்தா அப்பன் இருக்கானுங்களா இல்லையா?,இவளுகளுக்கு எல்லாம் ஆத்தா அப்பன் இருக்கானுங்களா இல்லையா?,Tamil,youtube,,
"Starting punch "" நாய்க்காதல்"" 200% உண்மை... நல்லபடியா படிச்சி வாழ்க்கையில முன்னேறனும் னு எண்ணத்தோட எதுங்க படிக்க போகுதுங்க 🤦‍♂️","Starting punch "" நாய்க்காதல்"" 200% உண்மை... நல்லபடியா படிச்சி வாழ்க்கையில முன்னேறனும் னு எண்ணத்தோட எதுங்க படிக்க போகுதுங்க",Tamil,youtube,,
வாழ்க்கைல எப்படி இருக்கணும்னு யாருக்குமே தெரியல😂,வாழ்க்கைல எப்படி இருக்கணும்னு யாருக்குமே தெரியல,Tamil,youtube,,
ஒத்த ரோசாக்களா ( பிள்ளைகளைப் பெற்றதாய் தந்தையர்கள்) புள்ளைங்க ரொம்ப அற்புதமா வளத்து இருக்கீங்க😂😂😂😂😂😂😂😂😂😂😂,ஒத்த ரோசாக்களா ( பிள்ளைகளைப் பெற்றதாய் தந்தையர்கள்) புள்ளைங்க ரொம்ப அற்புதமா வளத்து இருக்கீங்க,Tamil,youtube,,
தரமான வீடியோ வேற லெவல் சூப்பர் எடிட்டிங் பக்கா சிரிப்பு அடக்க முடியால,தரமான வீடியோ வேற லெவல் சூப்பர் எடிட்டிங் பக்கா சிரிப்பு அடக்க முடியால,Tamil,youtube,,
"Respect the girl who did goddess reel, 4:28",respect girl goddess reel 28,English,youtube,,
அப்பா அம்மா எல்லாரும் பையன் வசதியா இருக்கணும்னு சொல்லிட்டு இப்போ எவன்கூடயோ போறது தெரியாம இருகாங்க,அப்பா அம்மா எல்லாரும் பையன் வசதியா இருக்கணும்னு சொல்லிட்டு இப்போ எவன்கூடயோ போறது தெரியாம இருகாங்க,Tamil,youtube,,
Naa school padikkum podhu thavani thaan evlo alaga irukkum boys ah paarthave vetkam varum nera nindu kooda pesave maattanga love irukkum aahana olukkamum irukkum viral nuni kooda mela pattadhu kedaiyadhu ❤,naa school padikkum podhu thavani thaan evlo alaga irukkum boys paarthave vetkam varum nera nindu kooda pesave maattanga love irukkum aahana olukkamum irukkum viral nuni kooda mela pattadhu kedaiyadhu,Tanglish,youtube,,
அப்போ எவளும் படிக்க போல.. 🤔🌍🫀,அப்போ எவளும் படிக்க போல..,Tamil,youtube,,
வருங்கால கொத்தனார் சித்தாடும்😂,வருங்கால கொத்தனார் சித்தாடும்,Tamil,youtube,,
Dont worry iam 37 old😂😂 eppadi pandratha veda nan single la ve erukalam bro❤❤,dont worry iam 37 old eppadi pandratha veda nan single erukalam,Tanglish,youtube,,
சிங்களன் சொல்ல ஈசியா இருக்கு ஆனா மனசுக்குள்ள கஷ்டமா இருக்கு,சிங்களன் சொல்ல ஈசியா இருக்கு ஆனா மனசுக்குள்ள கஷ்டமா இருக்கு,Tamil,youtube,,
Bro 90's kids thana neengalum 🎉,bro 90 kids thana neengalum,English,youtube,,
@Mastervj1 ஆமா நண்பா,@Mastervj1 ஆமா நண்பா,Tamil,youtube,,
Bro பயப்பிடாம போய் பொண்ணுங்க கிட்ட போய் பிடிச்சிருக்குனு சொல்லு bro ஓகேனா love பண்ணு bro இல்லனா வேற பொன்னுட போய் சொல்லு bro naala 8 ponna love panna bro 8 me v2ku therinchi poittu bro vittutu so athunala 9 vatha ippa oru ponna paakura bro summa side adi bro apram velila aaichittu poi enjay pannu bro ithukku poi enna ninaicha kevalama irukkunu sollura bro 😂,love naala ponna love panna v2ku therinchi poittu vittutu athunala vatha ippa oru ponna paakura summa side adi apram velila aaichittu poi enjay pannu ithukku poi enna ninaicha kevalama irukkunu sollura,Tanglish,youtube,,
@x_lonely_boy பணம் இருக்குனும் இல்லனா அழகா இருக்கணும் இரண்டுமே என்கிட்ட இல்ல,@x_lonely_boy பணம் இருக்குனும் இல்லனா அழகா இருக்கணும் இரண்டுமே என்கிட்ட இல்ல,Tamil,youtube,,
Kavalai padathea bro marriage panna sethu poiruva nan marriage panni romba stressla iruken,kavalai padathea marriage panna sethu poiruva nan marriage panni romba stressla iruken,Tanglish,youtube,,
கேவலம் நெனைக்காதீங்க நம்ம அப்பா அம்மா ஒழுகமா வளத்து இருகாங்க பெருமை படுங்க சகோதரா 😢😂,கேவலம் நெனைக்காதீங்க நம்ம அப்பா அம்மா ஒழுகமா வளத்து இருகாங்க பெருமை படுங்க சகோதரா,Tamil,youtube,,
Bro I am studying in 11th std Naanum oru ponna love pandra bro But in previous year I am studied in 10th nanga rendu perum committed My 10th mark is 439😅😅 Avanga mark vanthu 485🎉🎉❤❤,studying 11th std naanum oru ponna love pandra previous year studied 10th nanga rendu perum committed 10th mark 439 avanga mark vanthu 485,Tanglish,youtube,,
@ManiMani-har അയ്യോ എന്റെ ഗുരുവായൂരപ്പാ!,@ManiMani-har അയ്യോ എന്റെ ഗുരുവായൂരപ്പാ!,Malayalam,youtube,,
கிடைக்கும் ப்ரோ கவலைப்படாதீர்கள்😢,கிடைக்கும் ப்ரோ கவலைப்படாதீர்கள்,Tamil,youtube,,
அதே நிலமைதான் சகோதரா எனக்கும் வயது 32 ஆகின்றது,அதே நிலமைதான் சகோதரா எனக்கும் வயது 32 ஆகின்றது,Tamil,youtube,,
நானும் அப்படித்தான் 33 வயசு கல்யாணம் இல்ல காதல் இல்லை குடி பழக்கம் இல்லை சிகிரெட் பழக்கம் இல்லை டீ காபி கூட குடிக்க மாட்டேன் இன்னும் பொன்னு அமையல என்னத சொல்றது,நானும் அப்படித்தான் 33 வயசு கல்யாணம் இல்ல காதல் இல்லை குடி பழக்கம் இல்லை சிகிரெட் பழக்கம் இல்லை டீ காபி கூட குடிக்க மாட்டேன் இன்னும் பொன்னு அமையல என்னத சொல்றது,Tamil,youtube,,
Single tha gethu,single tha gethu,English,youtube,,
48 வயசு ஆகுது இன்னும் கல்யாணம் ஆகாமல் இருக்காங்க என் மாமா பசங்க விடுங்க பாஸ் கவலை படாதீங்க,48 வயசு ஆகுது இன்னும் கல்யாணம் ஆகாமல் இருக்காங்க என் மாமா பசங்க விடுங்க பாஸ் கவலை படாதீங்க,Tamil,youtube,,
Dont worry bro my husband 35 enaku 24 recent ah than marriage pannom.so late ah kidachalum best ah kidaikum.all the best for 90s kids,dont worry bro husband 35 enaku 24 recent ah marriage pannom late ah kidachalum best ah kidaikum best 90s kids,English,youtube,,
Mingle agita happy poirum brother,mingle agita happy poirum brother,English,youtube,,
ஏ சங்கத்து ஆள கேவலமா பேசுனது எவண்டா 😂😂😂,ஏ சங்கத்து ஆள கேவலமா பேசுனது எவண்டா,Tamil,youtube,,
Bro enakku 40 bro achu 'anum single than,enakku 40 achu anum single,Tanglish,youtube,,
கண்டிப்பாக ஒரு நாள் கல்யாணம்ம்ம்ம்ம் ஆகலாம் 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,கண்டிப்பாக ஒரு நாள் கல்யாணம்ம்ம்ம்ம் ஆகலாம்,Tamil,youtube,,
இதுவும் கடந்து போகும் bro ❤❤❤😂,இதுவும் கடந்து போகும் bro,Tamil,youtube,,
"Family kka work panni life tholachutiye bro. Naa eppa feel pandren school, college, work place laa oru ponna kuda love pannala eppa ennoda age 26 naa eppa gulf erukken my hair kottithu. 😢😢",family kka work panni life tholachutiye naa eppa feel pandren school college work place laa oru ponna kuda love pannala eppa ennoda age 26 naa eppa gulf erukken hair kottithu,Tanglish,youtube,,
நாம யாருக்கு என்ன கெடுதல் செஞ்ச,நாம யாருக்கு என்ன கெடுதல் செஞ்ச,Tamil,youtube,,
ஆமா தல......😢,ஆமா தல......,Tamil,youtube,,
Don’t worry bro single life is better🎉🎉,worry bro single life better,English,youtube,,
சாவு சாவுல😅😊😂,சாவு சாவுல,Tamil,youtube,,
உனக்கு நீ தான் எல்லாம் தேடி தரேன் உனக்கு நீதாண்டா தேடி😂😊,உனக்கு நீ தான் எல்லாம் தேடி தரேன் உனக்கு நீதாண்டா தேடி,Tamil,youtube,,
சனியானுங்க School la கேவால படுத்திருக்கிறது குஇதுங்க எதுக்கு இருக்கு 😡😡😡😡😡😡😡😡,சனியானுங்க School la கேவால படுத்திருக்கிறது குஇதுங்க எதுக்கு இருக்கு,Tamil,youtube,,
எனக்கு 33 வயசு ஆகுது எனக்கும் இன்னும் கல்யாணம் ஆகல 😢,எனக்கு 33 வயசு ஆகுது எனக்கும் இன்னும் கல்யாணம் ஆகல,Tamil,youtube,,
கவலை படாதிங்க ❤️,கவலை படாதிங்க,Tamil,youtube,,
Sethuru bro 😢😢😢 yenake unna nenacha kastama iruku Just Fun…,sethuru yenake unna nenacha kastama iruku fun,Tanglish,youtube,,
These are children of absent parents who focus only on work. Not free parents,children absent parents focus work free parents,English,youtube,,
Mam i want to convey something to you .that you might think they are cheap but they just want to explore them may be the way was not good looking but you can't say that only govt . are doing this . And it was there lifestyle so please comment on this,mam want convey something might think cheap want explore may way good looking say govt lifestyle please comment,English,youtube,,
அதிகமாக இப்படி தறுதலைகள் தான் இருக்குது,அதிகமாக இப்படி தறுதலைகள் தான் இருக்குது,Tamil,youtube,,
So you should not talk about this tharkuris 🤷,talk tharkuris,English,youtube,,
Me too ..nanum insta la illa paravailla pa enna Mari innoru jeevan iruku😂,nanum insta illa paravailla enna mari innoru jeevan iruku,Tanglish,youtube,,
Mee also bro😂,mee also bro,English,youtube,,
Kothanar Velaiku Insta la Alu irukku bro 😂😂,kothanar velaiku insta alu irukku,Tanglish,youtube,,
Mee too bro,mee bro,English,youtube,,
Correct my first lover s.subashini. .... Innaikku enga irukkaanganu theriyala... Eanakku 2 pen kulanthai .indrum avanga mela eanakku madhippu irukku... This is 90 kids....,correct first lover subashini innaikku enga irukkaanganu theriyala eanakku pen kulanthai indrum avanga mela eanakku madhippu irukku 90 kids,Tanglish,youtube,,
"@MohamedNabi-n1u bro 90kids is unamaya love irunthathu,,,true love generation only 90$",mohamednabi n1u 90kids unamaya love irunthathu true love generation 90,Tanglish,youtube,,
It's true bro,true bro,English,youtube,,
தலைவன் சியான் விக்ரம் டயலாக் வேற லெவல் 😂,தலைவன் சியான் விக்ரம் டயலாக் வேற லெவல்,Tamil,youtube,,
Damn those 90's kids☺️ pavaga எங்க பாவம் எல்லாம் உங்கள😮சும்மா விடாது டா,Damn those 90's kids pavaga எங்க பாவம் எல்லாம் உங்கள சும்மா விடாது டா,Tamil,youtube,,
கௌர்மென்ட் ஸ்கூலையும் நல்லா படிக்கிறவங் நிறைய பேர் இருக்காங்க,கௌர்மென்ட் ஸ்கூலையும் நல்லா படிக்கிறவங் நிறைய பேர் இருக்காங்க,Tamil,youtube,,
பெத்தவங்க படிக்கிறதுக்கு போன் வாங்கி குடுத்தா இந்த வேலை தேவையா.,பெத்தவங்க படிக்கிறதுக்கு போன் வாங்கி குடுத்தா இந்த வேலை தேவையா.,Tamil,youtube,,
அந்த வீடியோவில் வர்ற all comments வேற லெவல் போங்க🤣🤣🤣🤣🤣🤣,அந்த வீடியோவில் வர்ற all comments வேற லெவல் போங்க,Tamil,youtube,,
"After watch the last video, I was thinking my life is wast 😂😂😂😂",watch last video thinking life wast,English,youtube,,
என் உயிர் தலைவன் அந்நியன் சியான் விக்ரம்😂 டயலாக் வேற லெவல்,என் உயிர் தலைவன் அந்நியன் சியான் விக்ரம் டயலாக் வேற லெவல்,Tamil,youtube,,
5:24. That friend who covered her face 😊 POV~ I don't know this tharkuri girls,24 friend covered face pov know tharkuri girls,English,youtube,,
நித்தியானந்தா சிரிப்பு அழகு,நித்தியானந்தா சிரிப்பு அழகு,Tamil,youtube,,
School management defenetly should take action,school management defenetly take action,English,youtube,,
All is Govt. School Uniform 🙄 no one is in the private school uniform,govt school uniform one private school uniform,English,youtube,,
vinthu thavariya tharunam😂😂😂,vinthu thavariya tharunam,English,youtube,,
0:28...Perfect words😂💯,28 perfect words,English,youtube,,
நீங்க நல்லா தீவிரவாதி மாதிரி சுட வேணும்,நீங்க நல்லா தீவிரவாதி மாதிரி சுட வேணும்,Tamil,youtube,,
இந்த காலத்து 2 கிட்ஸ் இளைஞர்களை நினைத்து ரொம்ப வேதனைப்படுகிறேன் இந்த இளைஞர்கள் எல்லாம் என்னதான் ஆகப் போகிறார்கள் தெரியவில்லை,இந்த காலத்து 2 கிட்ஸ் இளைஞர்களை நினைத்து ரொம்ப வேதனைப்படுகிறேன் இந்த இளைஞர்கள் எல்லாம் என்னதான் ஆகப் போகிறார்கள் தெரியவில்லை,Tamil,youtube,,
1:40 idhu enga school 😂😂😂😂 paiyan da,40 idhu enga school paiyan,Tanglish,youtube,,
90s Kids Ah Pirandha Yelarume Sandhosam Padanum... Namma Amma Appa Yevalo Kasta Pattu Nammala Vazhathanga ... Ana Yepo 2k nu Sli Vandhangalo Apovea Yela Kalacharamum Mudinjudhu,90s kids pirandha yelarume sandhosam padanum namma yevalo kasta pattu nammala vazhathanga ana yepo 2k sli vandhangalo apovea yela kalacharamum mudinjudhu,Tanglish,youtube,,
என்னால சில வீடியோவை பார்க்கும் போது சிரிப்பு அடக்கவே முடியல இந்த தறுதலை எல்லாம் எங்க பொறந்தது எதுக்கு பொறந்தது,என்னால சில வீடியோவை பார்க்கும் போது சிரிப்பு அடக்கவே முடியல இந்த தறுதலை எல்லாம் எங்க பொறந்தது எதுக்கு பொறந்தது,Tamil,youtube,,
எல்லாம் government school பிள்ளைங்க தான் 😢,எல்லாம் government school பிள்ளைங்க தான்,Tamil,youtube,,
என்னடா முடி இது 😂😂😂😂😂,என்னடா முடி இது,Tamil,youtube,,
Last reel is hurt more ❤,last reel hurt,English,youtube,,
"Opening title super pa😂😂😂, Teachers la romba pavam😢😮 Parents solla varthai illai😢 Future kothanar, sithal guarantee😅",opening title super teachers romba pavam parents solla varthai illai future kothanar sithal guarantee,Tanglish,youtube,,
Nice funny video bro realy very nice 😂🤣👏,nice funny video bro realy nice,English,youtube,,
ஓரளவிற்கு மேல்தான்,ஓரளவிற்கு மேல்தான்,Tamil,youtube,,
