text,source,label,severity
2022 la naan pakkurean,youtube,,
2/4/2022,youtube,,
2022 here,youtube,,
I am from 2022,youtube,,
Ok friends,youtube,,
2022 pakkiren,youtube,,
ithu oru pollapu,youtube,,
2023 watching,youtube,,
 @rejeeshp8592  ok friend,youtube,,
2023 la pakuren bro,youtube,,
I’m 2024😂,youtube,,
🙋🏻‍♂️🙋🏻‍♂️,youtube,,
👇🙋🙋,youtube,,
I m,youtube,,
OK friends,youtube,,
Thevudiaa payala indha maathiri comment panratha niruththungadaa,youtube,,
0🤣,youtube,,
My,youtube,,
Naan paapan,youtube,,
Yaar patha onnaku enna,youtube,,
🤣🤣🤣🤣 nanu Bro,youtube,,
Kirinju da nee,youtube,,
It's 2022,youtube,,
I am from 2022😂,youtube,,
2022 la pakkkura...,youtube,,
2022la,youtube,,
2022 le pakuren 😂😂😂,youtube,,
Naan 2022,youtube,,
I'm from future 2022 la pakran bro 🤩🤣,youtube,,
Iam 2022😅,youtube,,
2022 la naa pakkiren,youtube,,
Nan 2022 la pakuren pa,youtube,,
Watching in 2023,youtube,,
Watching in 2022,youtube,,
Bro this is 2022,youtube,,
2022 la kuda pakara,youtube,,
I am in 2022,youtube,,
😄,youtube,,
2022 la Paakuren a,youtube,,
2022 la watching,youtube,,
I'm In 2021 😆,youtube,,
2022 yaarellam pakuringa,youtube,,
I am 2022. Se.. watching...,youtube,,
2022❤️,youtube,,
2022 bro,youtube,,
Mᴇ 2022,youtube,,
2022 la pakren niinga vera,youtube,,
Today i watching,youtube,,
2022 😂,youtube,,
2022 I am watching,youtube,,
2022 la pro,youtube,,
nan 2022 bro,youtube,,
 @mickeldinesh2894  ok friends,youtube,,
I am watching 2022 😎,youtube,,
Annaa naa 2022 😂😂😂,youtube,,
Illa bro na 2022 la tha paatha,youtube,,
Naa 2022la pakkara da ne irukaya ippa😂,youtube,,
I'm from 2022,youtube,,
Today i am watching,youtube,,
2022..😌,youtube,,
2022 la pakreya,youtube,,
2023,youtube,,
 @vicky-ef8zi   🧐🧐🧐🧐🧐,youtube,,
Me 2022,youtube,,
Na 2022 la bro😅😅😅😅,youtube,,
2022 la bro,youtube,,
Ungoppan,youtube,,
2022😂,youtube,,
2022 🤞❤️‍🔥,youtube,,
Now 2022. 5 time I'm seeing this,youtube,,
I watching 2022 😅😅,youtube,,
Today watching bro.. 2022 😅,youtube,,
Nooo 2022,youtube,,
Me 2002,youtube,,
2022 la tha watching,youtube,,
2 day watching😂,youtube,,
2k22,youtube,,
Naa 2022la pakkuran,youtube,,
Naan lam 2022 le pakkuren ini yum pappen,youtube,,
2022😁😁,youtube,,
Haha 2022,youtube,,
2022🙂,youtube,,
Bro iam today watching👀,youtube,,
 @_attitude_only_  🤣🤣,youtube,,
Ok bro,youtube,,
2022 September,youtube,,
Nan 2022 la pakuren,youtube,,
2022😀🥳,youtube,,
👍,youtube,,
Bro na 2022 la pakkuren bro,youtube,,
yy,youtube,,
2020,youtube,,
"2
0
2
2",youtube,,
Naan 2022-ல இருந்து வரன் comment பண்ணுன இந்த 2021 நாய் செத்துப்போயிருச்சு 🥳😂,youtube,,
2022la pakare bro😂,youtube,,
2022 pa,youtube,,
2030 la yarallam pakriya,youtube,,
Bro 2023,youtube,,
Watching in22,youtube,,
2023...... la,youtube,,
2023 who?,youtube,,
2023 la paakuran 😂,youtube,,
2021 illa anna 2023 la pakkura,youtube,,
2023-02-25 1:51pm😅😅,youtube,,
2023 la paakuren ya 🙌,youtube,,
Watching from 2060 bro 🥸🔥🤣🤣🤣🤣😂,youtube,,
2023😂,youtube,,
2023 bro ⚡,youtube,,
2023😂😂,youtube,,
யாரெல்லாம் 2023 பார்க்கிறோம்,youtube,,
திராவிட தேசத்தின் முக்ய மந்த்ரி இஸ்டாலின் சின்னமேளமு காரூ ஜிண்டாபாட் ஜிண்டாபாட்,youtube,,
2023 ya,youtube,,
Naa 2023,youtube,,
"டாஸ்மாக் கரன்ட் கட் காரன் கம்பி எண்ணுவது தான் கட்சிகளுக்கும், கூட்டணிகளுக்கும், நாட்டு மக்களுக்கும் நல்லது...",youtube,,
2023 😂,youtube,,
2023 la paakran😂😂,youtube,,
2023.09.14,youtube,,
2023 bro 😂,youtube,,
2023 la pakkuren 😂🤣,youtube,,
2023 Nan pakkuran,youtube,,
Na 2023pakura,youtube,,
2023/10th month,youtube,,
2023 leyum watching than bro!!,youtube,,
2023🎉,youtube,,
2023 la pakuran Nanba,youtube,,
2023 layum pakren. 😂,youtube,,
23 da dei 😂,youtube,,
Just 3 years later,youtube,,
2024😬😬,youtube,,
Bro this is 2024 time is going faster😢😢😢,youtube,,
I am,youtube,,
2024 😂,youtube,,
Oh shit I am watching on Dec 2024,youtube,,
 @itmadhubalan.m9700  oooo,youtube,,
 @itmadhubalan.m9700  ooo,youtube,,
 @itmadhubalan.m9700  Oooooooooooooo ooo,youtube,,
Not only teacher every character,youtube,,
Super bro,youtube,,
I am your 300 like,youtube,,
"Ipovum pathutu irukem
Bore ah enaka chance ae illa",youtube,,
20 varusham kalichu pathalum semmaya than irukum 🔥💪😂,youtube,,
Bro naan 3 varusum kalichi pathutan,youtube,,
"Mumtaj Settu 

Exactly 🤣🤣😅",youtube,,
Yeah 🤣🤣🤣,youtube,,
11.10.2020,youtube,,
I'm watching in 2021 Feb 1,youtube,,
20/12/20,youtube,,
5.1.2021,youtube,,
nanum atha use paniruken,youtube,,
Subha Keerthi 😮😮😮😮,youtube,,
💖,youtube,,
Is true bro nice my favourite shows,youtube,,
Only strasssa,youtube,,
g p muthu,youtube,,
7:15 ultimate,youtube,,
"அம்மா அப்பா அண்ணன் கொழுந்தியா பேரவை 😂 😂 


அடேய்ய் 😂",youtube,,
என்னா எதுக்கு அடிச்சிங்க.இருடி எங்க அப்பாவ கூட்டிட்டு வரன்.😃😃😄😄😆😆😅😅😃😃,youtube,,
5:36 enna elu uiru elu mairuntu 😂😂,youtube,,
1:49 kuchiya olichi veka kooda teryadha da dialogue🤣🤣🤣🤣,youtube,,
5:41...enna 7 uyir 7 mayir uh😂😂😂🤣🤣🤣vera level comedy.... ultimate,youtube,,
6:04 Kuyil.. hahahahahahaha!! 😂😂👌,youtube,,
"5:34
7:13
7:55 
Sudhakar sirikura moments
Upuma illana enna maggy seinju...",youtube,,
4:02😁😀😀😀semma expression gopi bro😁,youtube,,
2:23 epic...😂😂,youtube,,
1:59 Legendary Line 🤣❤️🔥,youtube,,
4:46 best expression 🤣🤣🤣,youtube,,
8:41 padhinettu mark uh Enga pochu 🤣😂😂🤣,youtube,,
3:30 exactly my school teachere are same like him,youtube,,
"""undertaker ku 7 uyire ""Nan kuda ada nambiruka 😂😂😂😂😂",youtube,,
2022 la kuda pathutu iruken !! Real stress buster,youtube,,
0:04 hey....😂😂😂😂😂😂😂😂😂😂😂,youtube,,
"#tnx 4 my childhood memories 
# nikkal kunthal
# undertaker 7 uyir
# hand cricket
# Evan yennaya aduchano😘😘😘😘😉",youtube,,
என் வாழ்க்கையில் நடந்தது போலவே இருக்கு 😂😁😁😂😂,youtube,,
1:07 sock 😂🤣🔥 sasikala nigala🤣,youtube,,
Hari Haran 😂😂😂,youtube,,
Hari Ganesh Rajakumar 😅 😁,youtube,,
Bro ethu yaara immitate panninga..??,youtube,,
Therinja sollunga,youtube,,
Hi,youtube,,
I too feel same 🤣🤣,youtube,,
😂😂,youtube,,
Antha 18 mark eduthutu pen ah vangiko😜😜😜😜😜😜,youtube,,
Means what,youtube,,
நானும் த ப்ரோ🤣🤣🤣 triple h Undertaker m anna thambi 🤣🤣🤣🤣,youtube,,
Hahaha,youtube,,
Selvaraj M  p. Ph pl,youtube,,
2023 layum paken,youtube,,
I am also,youtube,,
23 la pakaranea😂😂😂,youtube,,
Me also bro,youtube,,
Sabeer Ahamed same feeling bro,youtube,,
2:08 classic👌..class ku oruthan epadi kandipa erupaan 😂😂..over reaction kuduthu escape aagirvaan 😂,youtube,,
dei echakala ... 😂andha Amma sonnatha Vida ...ninga sollumbothu... ultimate bro  😂😂😂😂,youtube,,
அம்மா அப்பா அண்ணன் கொளுந்தியா பேரவை! 😂,youtube,,
3:52 sudhakar vanmam fail aakitaaru 😂😂😂,youtube,,
"dei undertaker irukan la avanuku 7 uyir aanda!!!😂😂😂😂
epic gopi",youtube,,
"வீடியோ முடிஞ்சதும், Bloopers ம் கடைசில போடுங்க நண்பா... அதான் Full  enjoyment👌",youtube,,
2:39 Inniku ongaluku onnu tharaporen! Athu enna?.... ( WoW Semma performance ) :),youtube,,
2024 la யாரெல்லாம் பாக்குறீங்க,youtube,,
The best part is from 0:00 to 11:19..Hit like if you agree..,youtube,,
"You Tube Channel
Super Star
Gopi Sudhakar

ஞாபகம் வருதே
nikkal Kundhal,
Prayer மயக்கம்,
எவன் என்ன அடிச்சானோ,
sir பேனா வாங்கறது,
8 th period PT,
பேசினால் பெயர் எழுதுவது
test paper, correction, அடி வாங்குவது
👏👌😢💓💟🏫📚📝",youtube,,
4:16 vidra O*** vidrA😂😂😂😂😂,youtube,,
9:29 has separate fan base😂,youtube,,
1:32 maanava chelvangaley 😂😂😂,youtube,,
5:38 அப்டியே ரெண்டு லார்ரிய சுண்டு விரல்ல இப்படி தூக்கிட்டு வந்தான்  டா 😂😂,youtube,,
08:14 semma bro nice penyaa where you boughte,youtube,,
1:58 Suguma sugama😂😂😂,youtube,,
Sudhakar perfectly suited for teacher role in this video 😄😄😄......,youtube,,
4:17 vidraa gotha vidraaa🤣😂ulti bro 😂💯,youtube,,
Antha 18 marks a eduthitu pen a vankikoo 8:56,youtube,,
Anyone 2025😂,youtube,,
Sabari Chandran athu ne thana,youtube,,
Sabari Chandran i,youtube,,
super ji unga Ellem video  I like this all great,youtube,,
super,youtube,,
"JALAL CENA 
Yena 7uyiru..7mairu nu😀😀",youtube,,
Rasmidha S nikkal kundhal is epic 😂,youtube,,
naveen kumar yes,youtube,,
semma,youtube,,
Mr.Incredible Channel screen play Mr. just for fun,youtube,,
Ram prasad tq u,youtube,,
Enna Ram prasad ..Kedaikira Gap la screen play panreengala..Continue ...,youtube,,
✌✌,youtube,,
Priya Kutty 😃,youtube,,
Rasmidha S what's ah brillance,youtube,,
Rr,youtube,,
nice,youtube,,
Ama thala 😂😂😂,youtube,,
Gopi 's acting vera level..,youtube,,
6:05 dai arivu earukada 😂😂😂,youtube,,
இன்ஜினியரிங் காலேஜ் பாரிதாபங்கள் மாதிரி அங்க படிக்கற மாணவர்கள் பரிதாபங்கள் போடுங்க.....தாங்க முடியல....,youtube,,
1:55 sugema irukka 😂,youtube,,
0:28 echakala!🤣...,youtube,,
It's 2019 October still I'm watching,youtube,,
6:28 nikkal kundal ultimate 😂😂😂😂😂😂,youtube,,
7:00 ultimate,youtube,,
upma senju kuduthen nu pudhu katchiii...😂😂😂😂😂,youtube,,
0:16 is litt,youtube,,
3:56 - adikkanum nu mudivu pannitta adichuruven pathukka :D,youtube,,
4:01 enaaa ethuku adichingaa🤣🤣🤣🤣🤣,youtube,,
"7 uyir , 7 mayir . 😂😂😂😂 love from Sri Lanka",youtube,,
9:19 Yow yen ya sirikira ni sirkikardu enakku sirippu vardu,youtube,,
2 mark potu 2mark cut pannadhu semma bro,youtube,,
02:46 test paper😅😅,youtube,,
"2:34 , 6:05 Semma serichu vairu valikku 😂😂😂😘😘😍💗,,...",youtube,,
Where you bought this pen😂😂 slang same like my physics sir.   ..,youtube,,
4:17 Sir Ah Edaiyila Ketta Vaarthayila Ethum Thittuniyaa!! 😂😂,youtube,,
8:26 how many mark you get uh?🤣🤣,youtube,,
Subha Keerthi super,youtube,,
😂😂I am waiting in 2020,youtube,,
எனக்கு நடந்து இருக்கு,youtube,,
Ennakum ipdi nadandhu irruku,youtube,,
Me too happened 🥺,youtube,,
Semma 😂🤣🤣😂,youtube,,
Mee too,youtube,,
Udra o*ha udra,youtube,,
"Gopi Miratitiga Ponga, Highlight Ah Antha 2mark Potutu Vera 2u Mark Ah Korachathutha, Enakum Ithulam Nadanthuruku broooo😢😢😢",youtube,,
Remembering School days.. Undertakerku 7 uyir and odd or even handcricket !!!,youtube,,
9:13 Sudhakar smile🤩🤩🤩🤩awwww🤩🤩🤩🤩,youtube,,
1:57 super 🤣🤣🤣,youtube,,
parimala teacher.........super,youtube,,
6:03 😂😂 குச்சிய நீற்ற கு கு கு கு........!!!!,youtube,,
ரெம்ப நாள் கழிச்சு கண்ணீர் வர வர சிரிச்சே,youtube,,
Yepdi tha ivanga Namma memories ah kindi kelaruranungaloo😂😂😂....Schl ke poitu vandha mari ierukku,youtube,,
Sudhakar is looking like my school physics teacher 🤣🤣😅,youtube,,
Who else want Gopi and Sudhakar to be the next pair like Goundamani Senthil in Tamizh Cinema !!!!!,youtube,,
6:16 The expression the guy behind Gopi gives is exactly how we reacted :D,youtube,,
2021 July maasam um yarlam pakringa 😍🔥,youtube,,
5:42 vera level🤣🤣🤣,youtube,,
வெகுநாள் கழிச்சு வயிறு குலுங்க சிரிச்சேன் அண்ணா!  ரெண்டு பேருமே செம்ம!,youtube,,
Kuyil Mari irukinga 6:18 😂😂,youtube,,
ennayum aadathula sethukonga da😂😂😂😂😂😂😂nikkal oru maari,youtube,,
Not Better Parithabangal Than Engineering Parithabangal Till Now.......😍😍😍😍,youtube,,
6:51 kelvi kekkathinga kelunga 😁😁😁😁,youtube,,
4:02 😂😂😂,youtube,,
3:00 see this 😂😂😂,youtube,,
❤️,youtube,,
🙌🔥😂,youtube,,
Naanum tha,youtube,,
Lokesh R Aaga Daddy😁,youtube,,
Who watch 2k19😁😁😁,youtube,,
Dislike pannavanunga ellarum vathiyar payalungaaa ...😂😂😂,youtube,,
I am seeing this in 2026,youtube,,
Can't control My laughing...hats off u both,youtube,,
"Sudhagar voice,  expression ellame super.",youtube,,
4:28 mass,youtube,,
6:22 semma 🤣🤣🤣🤣🤣🤣,youtube,,
Undertaker veral level dialogue,youtube,,
Thumbnail Gopi vera level 😂😂😂😍,youtube,,
Semma voice....that powder make up....echchakala dialogue....Sudhakar innocent expressions😍just love themmmm,youtube,,
Pen moment yenaku nadanthiruku 😂😂😂vera level,youtube,,
9:54 semma,youtube,,
"2019, 2020, 2021 la pakuravanga nanga than",youtube,,
only for 90s kids,youtube,,
Naangalu kuchiya oliya vachiruko😂,youtube,,
0:55 naanga pannathu apdiye,youtube,,
"35 வயசு ஆச்சு இன்னும் தனியா தான் சுத்திட்டு இருக்கிறேன், என்ன நெனச்சி எனக்கே கேவலமா இருக்கு",youtube,,
Now im realising.. why my parents strict at me in my small age time 😌💐,youtube,,
இப்பலா இந்த மாதிரி சின்ன பிள்ளைங்கள பார்த்தாலே பயமா இருக்கு,youtube,,
As a teacher I am very scared of this kind of students,youtube,,
அரசு பள்ளிகளில் கடின உழைப்பால் படிக்கும் பிள்ளைகளும் இருக்கு... உங்களுக்கு அதெல்லாம் கண்ணுக்கு தெரியாது....,youtube,,
இவளுகளுக்கு எல்லாம் ஆத்தா அப்பன் இருக்கானுங்களா இல்லையா?,youtube,,
Nalla velaiku naama insta la ila 😂,youtube,,
"Starting punch "" நாய்க்காதல்"" 200% உண்மை...
நல்லபடியா 
படிச்சி வாழ்க்கையில முன்னேறனும் னு எண்ணத்தோட  எதுங்க படிக்க போகுதுங்க 🤦‍♂️",youtube,,
வாழ்க்கைல எப்படி இருக்கணும்னு யாருக்குமே தெரியல😂,youtube,,
ஒத்த ரோசாக்களா ( பிள்ளைகளைப் பெற்றதாய் தந்தையர்கள்) புள்ளைங்க ரொம்ப அற்புதமா வளத்து இருக்கீங்க😂😂😂😂😂😂😂😂😂😂😂,youtube,,
Nammala school padikum pothu school uniform pottu veliya kuda poga mattom aana   ippo paarunga chii kevalama illa,youtube,,
Indha video thaaimargal kannil padukvari pagiravum......ipadiki 90s kid😂😂😂😂,youtube,,
தரமான வீடியோ வேற லெவல் சூப்பர் எடிட்டிங் பக்கா சிரிப்பு அடக்க முடியால,youtube,,
"Respect the girl who did goddess reel,  4:28",youtube,,
Valarppuna 90s kids parents oda valarppu tha nga veetula ulla vilakkamaaru sollum 😅,youtube,,
4.56  that aaaamaaaa 🤣😂😂,youtube,,
அப்பா அம்மா எல்லாரும் பையன் வசதியா இருக்கணும்னு சொல்லிட்டு இப்போ எவன்கூடயோ போறது தெரியாம இருகாங்க,youtube,,
Naa school padikkum podhu thavani thaan evlo alaga irukkum boys ah paarthave vetkam varum nera nindu kooda pesave maattanga love irukkum aahana olukkamum irukkum viral nuni kooda mela  pattadhu kedaiyadhu ❤,youtube,,
அப்போ எவளும் படிக்க போல.. 🤔🌍🫀,youtube,,
வருங்கால கொத்தனார் சித்தாடும்😂,youtube,,
Dont worry iam 37 old😂😂 eppadi pandratha veda nan single la ve erukalam bro❤❤,youtube,,
90kids sangam,youtube,,
சிங்களன் சொல்ல ஈசியா இருக்கு ஆனா மனசுக்குள்ள கஷ்டமா இருக்கு,youtube,,
Bro 90's kids thana neengalum 🎉,youtube,,
@Mastervj1 ஆமா நண்பா,youtube,,
 @Mastervj1  ஆமா,youtube,,
Bro பயப்பிடாம போய் பொண்ணுங்க கிட்ட போய் பிடிச்சிருக்குனு சொல்லு bro ஓகேனா love பண்ணு bro இல்லனா வேற பொன்னுட போய் சொல்லு bro naala 8 ponna love panna bro 8 me v2ku therinchi poittu bro vittutu so athunala 9 vatha ippa oru ponna paakura bro summa side adi bro apram velila aaichittu poi enjay pannu bro ithukku poi enna ninaicha kevalama irukkunu sollura bro 😂,youtube,,
 @x_lonely_boy  பணம் இருக்குனும் இல்லனா அழகா இருக்கணும் இரண்டுமே என்கிட்ட இல்ல,youtube,,
@Mudinjaa_Kandupidi 😂😂,youtube,,
Kavalai padathea bro marriage panna sethu poiruva nan marriage panni romba  stressla iruken,youtube,,
கேவலம் நெனைக்காதீங்க நம்ம அப்பா அம்மா ஒழுகமா வளத்து இருகாங்க பெருமை படுங்க சகோதரா 😢😂,youtube,,
Inga 37 😭😭😭,youtube,,
"Bro I am studying in 11th std
Naanum oru ponna love pandra bro
But in previous year I am studied in 10th nanga rendu perum committed
My 10th mark is 439😅😅
Avanga mark vanthu 485🎉🎉❤❤",youtube,,
 @ManiMani-har  അയ്യോ എന്റെ ഗുരുവായൂരപ്പാ!,youtube,,
​ @ManiMani-har  breakup thaan😂😂,youtube,,
@ManiMani-har  first vatti pesurapa eppati bro irunthuchi 😅,youtube,,
கிடைக்கும் ப்ரோ கவலைப்படாதீர்கள்😢,youtube,,
அதே நிலமைதான் சகோதரா எனக்கும் வயது 32 ஆகின்றது,youtube,,
நானும் அப்படித்தான் 33 வயசு கல்யாணம் இல்ல காதல் இல்லை குடி பழக்கம் இல்லை சிகிரெட் பழக்கம் இல்லை டீ காபி கூட குடிக்க மாட்டேன் இன்னும் பொன்னு அமையல என்னத சொல்றது,youtube,,
"Namma ivvalavu kevalama pannala brother chinna vayasula 
Namma romba nallavangala irunthom nu ninaichu santhosa padanum.

Nammala valarthavanga nammala apdi valarthuttanga....💪🏻💪🏻💪🏻💪🏻💪🏻💪🏻💪🏻💪🏻",youtube,,
37.S.,youtube,,
Company kku... Nanum erkken nanba yannaiyum serthukkonga,youtube,,
​ @Saranyasaikishore hi to,youtube,,
Single tha gethu,youtube,,
😂,youtube,,
48 வயசு ஆகுது இன்னும் கல்யாணம் ஆகாமல் இருக்காங்க என் மாமா பசங்க விடுங்க பாஸ் கவலை படாதீங்க,youtube,,
Ipdi nallavanu solliye kadasi varaikum kalayanam panna vidamatanka,youtube,,
Dont worry bro my husband 35 enaku 24 recent ah than marriage pannom.so late ah kidachalum best ah kidaikum.all the best for 90s kids,youtube,,
Ennaga panrathu avangalukku amaithu namakku amaila,youtube,,
​ @SaviSavthri  ena amayala . Nama dhaan try pananum bro 😔 naanlam palla varushama try pnadren theeiyuma 😅,youtube,,
Mingle agita happy poirum brother,youtube,,
​ @MedhaPhiliprajan  nejamava ? Apo neenga commited ah 😮,youtube,,
Ithu asingam illa peruma❤,youtube,,
ஏ சங்கத்து ஆள கேவலமா பேசுனது எவண்டா 😂😂😂,youtube,,
I am single but naa 20k tha😂,youtube,,
Bro enakku 40 bro achu 'anum single than,youtube,,
😅😅😅,youtube,,
கண்டிப்பாக ஒரு நாள் கல்யாணம்ம்ம்ம்ம் ஆகலாம் 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,youtube,,
இதுவும் கடந்து போகும் bro ❤❤❤😂,youtube,,
👍👍,youtube,,
"Family kka work panni life tholachutiye bro.  Naa eppa feel pandren school, college, work  place laa oru ponna kuda love pannala eppa ennoda age 26  naa eppa gulf erukken my hair kottithu. 😢😢",youtube,,
நாம யாருக்கு என்ன கெடுதல் செஞ்ச,youtube,,
ஆமா தல......😢,youtube,,
Intha mari ponnukooda serrathuku Single a ve irunthutu poiralam,youtube,,
 @sriramasivakumarankalithas6600  agree 👍💯,youtube,,
I'm also,youtube,,
😂😂😂,youtube,,
Don’t worry bro single life is better🎉🎉,youtube,,
சாவு சாவுல😅😊😂,youtube,,
உனக்கு நீ தான் எல்லாம் தேடி தரேன் உனக்கு நீதாண்டா தேடி😂😊,youtube,,
சனியானுங்க School la கேவால படுத்திருக்கிறது குஇதுங்க எதுக்கு இருக்கு 😡😡😡😡😡😡😡😡,youtube,,
Vidu bro😢,youtube,,
I am 42 sago,youtube,,
❤,youtube,,
எனக்கு 33 வயசு ஆகுது எனக்கும் இன்னும் கல்யாணம் ஆகல 😢,youtube,,
கவலை படாதிங்க ❤️,youtube,,
Tharuthalaiya suthalayae santhosapadunga,youtube,,
Same to you I am 33,youtube,,
Boss Enakku 40😂,youtube,,
29 😭,youtube,,
"Sethuru bro 😢😢😢 yenake unna nenacha kastama iruku 
Just Fun…",youtube,,
"Yes, I accept 💗",youtube,,
These are children of absent parents who focus only on work. Not free parents,youtube,,
❤❤,youtube,,
Mam i want to convey something to you .that you might think they are cheap but they just want to explore them may be the way was not good looking but you can't say that only govt .  are doing this . And it was there lifestyle so please comment on this,youtube,,
அதிகமாக இப்படி தறுதலைகள் தான் இருக்குது,youtube,,
So you should not talk about this tharkuris 🤷,youtube,,
Me too ..nanum insta la illa paravailla pa enna Mari innoru jeevan iruku😂,youtube,,
Mee also bro😂,youtube,,
Kothanar Velaiku Insta la Alu irukku bro 😂😂,youtube,,
@ff_ben_x7😅,youtube,,
Me 😊,youtube,,
Mee too bro,youtube,,
Mee too❤😊,youtube,,
Correct my first lover s.subashini. .... Innaikku enga irukkaanganu theriyala... Eanakku 2 pen kulanthai .indrum avanga mela eanakku madhippu irukku... This is 90 kids....,youtube,,
" @MohamedNabi-n1u  bro 90kids is unamaya love irunthathu,,,true love generation only 90$",youtube,,
💯💯💯👌🏻,youtube,,
It's true bro,youtube,,
100%,youtube,,
Mapla pakra vela micham,youtube,,
😂😂😂😊,youtube,,
தலைவன் சியான் விக்ரம் டயலாக் வேற லெவல் 😂,youtube,,
Damn those 90's kids☺️ pavaga எங்க பாவம் எல்லாம் உங்கள😮சும்மா விடாது டா,youtube,,
Sirichi Sirichu Vayiru Valikkuthuya 😂,youtube,,
கௌர்மென்ட் ஸ்கூலையும் நல்லா படிக்கிறவங் நிறைய பேர் இருக்காங்க,youtube,,
